speaker,count,sum_convert_sec,sum,mean,median,max,min
남1,8104,7h 7m 30s,25650.18,3.17,3.0,13.27,0.41
남2,11154,12h 36m 49s,45409.55,4.07,3.62,12.7,0.93
남3,1500,3h 12m 24s,11544.2,7.7,7.54,14.42,3.05
남4,1766,3h 11m 39s,11499.88,6.51,6.22,13.94,3.11
남5,2200,3h 12m 10s,11530.16,5.24,5.03,14.16,2.45
남6,1880,3h 14m 56s,11696.82,6.22,5.97,13.59,2.71
남7,3104,3h 53m 36s,14016.45,4.52,4.13,12.49,2.21
여1,9883,11h 46m 3s,42363.37,4.29,3.85,14.27,0.99
여2,10140,11h 3m 5s,39785.72,3.92,3.68,20.49,0.28
여3,1900,3h 5m 44s,11144.56,5.87,5.6,13.2,2.5
여4,1604,3h 14m 38s,11679.0,7.28,7.16,14.9,3.16
여5,2220,3h 12m 15s,11535.05,5.2,4.96,12.7,2.5
여6,3104,3h 49m 49s,13789.41,4.44,4.14,11.75,2.47
